client_id,first_name,last_name,gender,age,geography,tenure_years,credit_score,salary_monthly_rub,balance_rub,n_products,has_credit_card,is_active_member,will_churn,churn_date
36,Алексей,Голубев,M,33,Регион,8,638,38877,149293,3,1,0,0,
37,Михаил,Морозов,M,28,Регион,5,750,133808,0,3,1,0,0,
38,Александр,Воробьёв,M,35,Регион,6,677,60056,17656,2,0,0,0,
39,Дмитрий,Смирнов,M,55,Санкт-Петербург,2,571,144087,0,3,0,1,0,
40,Ирина,Воробьёва,F,37,Санкт-Петербург,3,635,142075,3797037,2,1,0,1,2026-02-23
41,Максим,Богданов,M,22,Москва,9,629,31713,71954,1,1,1,0,
42,Мария,Богданова,F,28,Санкт-Петербург,6,509,44614,92372,2,0,1,0,
43,Юлия,Петрова,F,59,Регион,1,696,46613,32673,2,1,0,0,
44,Максим,Лебедев,M,56,Регион,5,716,72257,106901,2,1,1,0,
45,Ольга,Семёнова,F,45,Москва,6,731,92582,123423,1,1,1,0,
46,Ольга,Волкова,F,19,Санкт-Петербург,8,793,65392,5793,4,1,1,0,
47,Кирилл,Голубев,M,42,Регион,9,745,43022,0,3,0,0,1,2026-04-06
48,Андрей,Волков,M,43,Санкт-Петербург,7,590,161290,373816,2,1,0,1,2026-04-03
49,Наталья,Кузнецова,F,38,Регион,0,611,46025,0,1,1,1,0,
50,Михаил,Попов,M,31,Регион,5,734,93442,59320,1,0,1,1,2026-03-28
51,Павел,Виноградов,M,34,Москва,2,689,58554,0,3,1,1,1,2026-02-08
52,Иван,Козлов,M,30,Москва,0,648,57578,32369,2,0,1,0,
53,Елена,Морозова,F,24,Регион,10,563,89702,240847,1,1,1,0,
54,Ксения,Голубева,F,54,Санкт-Петербург,1,597,151116,0,2,1,1,0,
55,Екатерина,Виноградова,F,49,Регион,2,708,71897,0,1,1,0,0,
56,Юлия,Лебедева,F,35,Москва,3,455,44654,84641,2,0,0,0,
57,Алексей,Смирнов,M,42,Москва,5,416,145516,0,1,0,1,0,
58,Екатерина,Смирнова,F,43,Москва,6,719,80524,132795,1,1,1,0,
59,Алексей,Виноградов,M,66,Регион,3,597,66318,113414,1,0,0,0,
60,Иван,Волков,M,48,Регион,8,697,110924,699652,1,1,1,0,
61,Екатерина,Козлова,F,48,Регион,1,808,72644,0,3,1,0,0,
62,Никита,Новиков,M,38,Санкт-Петербург,10,549,261495,41131,2,0,0,1,2026-02-26
63,Ксения,Павлова,F,33,Регион,9,483,59941,78381,1,1,0,0,
64,Наталья,Соколова,F,55,Москва,6,622,119347,42893,1,0,0,1,2026-03-20
65,Дарья,Зайцева,F,46,Санкт-Петербург,0,582,78057,34680,2,0,0,0,
66,Ксения,Новикова,F,28,Регион,8,647,77902,1973,3,1,0,1,2026-03-09
67,Дарья,Козлова,F,43,Москва,7,704,48183,749080,1,1,1,0,
68,Михаил,Волков,M,48,Регион,6,683,48326,44161,2,1,1,0,
69,Иван,Зайцев,M,18,Москва,3,655,80658,57796,3,0,0,1,2026-03-03
70,Кирилл,Волков,M,27,Москва,4,756,35562,0,1,0,1,1,2026-03-30
71,Кирилл,Павлов,M,42,Санкт-Петербург,4,717,42390,45788,2,1,1,0,
72,Максим,Лебедев,M,18,Регион,6,632,60426,79246,1,1,0,0,
73,Ирина,Соколова,F,18,Москва,3,714,126023,136023,1,0,0,1,2026-03-28
74,Алексей,Волков,M,35,Регион,4,495,62838,0,3,1,0,0,
75,Андрей,Козлов,M,44,Москва,9,756,62244,46985,3,1,0,0,
76,Артём,Богданов,M,44,Регион,4,652,31724,380006,1,0,0,1,2026-03-14
77,Артём,Васильев,M,57,Санкт-Петербург,6,530,165614,0,2,1,0,0,
78,Наталья,Новикова,F,39,Москва,10,608,116340,112961,2,1,1,0,
79,Ирина,Голубева,F,34,Регион,10,754,124470,0,3,1,1,0,
80,Мария,Богданова,F,22,Регион,6,573,30000,84398,2,1,1,0,
81,Екатерина,Новикова,F,33,Санкт-Петербург,2,691,73934,0,2,0,1,0,
82,Сергей,Васильев,M,46,Москва,1,738,34100,319210,2,1,1,1,2026-03-11
83,Екатерина,Лебедева,F,47,Москва,9,652,95128,58987,1,1,1,0,
84,Андрей,Морозов,M,41,Регион,5,564,72621,38995,1,1,1,0,
85,Сергей,Волков,M,45,Регион,6,644,81740,283291,3,0,1,0,
86,Павел,Соколов,M,53,Регион,10,509,38950,141716,3,0,0,0,
87,Мария,Голубева,F,39,Регион,4,601,32083,282719,1,0,1,0,
88,Кирилл,Кузнецов,M,54,Регион,1,539,40764,30863,2,1,0,0,
89,Павел,Голубев,M,29,Москва,7,645,72019,96206,1,0,0,0,
90,Светлана,Смирнова,F,37,Санкт-Петербург,10,523,51775,0,2,0,1,0,
91,Кирилл,Голубев,M,32,Регион,1,658,69696,42001,1,1,0,0,
92,Татьяна,Виноградова,F,48,Москва,10,763,32390,0,4,0,0,0,
93,Михаил,Лебедев,M,26,Москва,5,770,59640,0,2,1,0,0,
94,Дмитрий,Голубев,M,34,Регион,6,525,138284,77295,2,1,0,0,
95,Иван,Попов,M,18,Регион,10,583,73087,77959,1,1,1,0,
96,Наталья,Новикова,F,45,Регион,3,735,75883,0,1,0,0,1,2026-02-09
97,Сергей,Соловьёв,M,53,Москва,8,720,76248,121052,2,1,1,0,
98,Кирилл,Воробьёв,M,49,Регион,0,588,44039,0,1,1,0,0,
99,Сергей,Козлов,M,48,Москва,7,601,159380,0,1,1,0,0,
100,Наталья,Кузнецова,F,48,Москва,0,658,74177,34743,3,0,0,1,2026-03-04
101,Дарья,Богданова,F,46,Регион,0,467,66591,136651,1,1,1,0,
102,Ксения,Лебедева,F,45,Регион,4,703,90417,178783,1,1,1,0,
103,Сергей,Голубев,M,46,Регион,4,758,105284,94555,3,0,0,0,
104,Ольга,Воробьёва,F,30,Регион,8,611,30000,289124,2,1,1,0,
105,Екатерина,Виноградова,F,36,Регион,9,508,61934,509318,1,0,1,0,
106,Анна,Попова,F,39,Москва,10,791,228916,241971,2,1,1,1,2026-02-07
107,Михаил,Иванов,M,34,Москва,6,672,161650,154117,1,0,0,0,
108,Алексей,Богданов,M,19,Регион,1,721,56171,0,1,0,1,0,
109,Андрей,Богданов,M,23,Регион,7,518,92670,108015,1,1,1,0,
110,Светлана,Соколова,F,41,Москва,5,518,49219,19158,1,1,0,0,
111,Павел,Васильев,M,49,Москва,5,691,74028,23683,3,1,0,0,
112,Сергей,Петров,M,38,Москва,5,753,45479,447066,3,1,1,0,
113,Александр,Соловьёв,M,71,Москва,9,537,45019,809634,1,0,1,0,
114,Юлия,Павлова,F,27,Регион,4,640,41977,19159,3,1,1,0,
115,Александр,Соколов,M,43,Москва,10,491,164291,0,2,1,1,0,
116,Ксения,Кузнецова,F,53,Санкт-Петербург,5,580,44879,0,1,1,1,0,
117,Ирина,Козлова,F,51,Регион,7,624,118784,713233,1,0,1,0,
118,Дарья,Воробьёва,F,46,Санкт-Петербург,10,699,46212,0,1,1,1,0,
119,Артём,Петров,M,51,Санкт-Петербург,8,439,43145,0,1,1,1,0,
120,Анна,Соколова,F,39,Москва,4,782,75633,0,1,1,1,1,2026-04-08
121,Юлия,Иванова,F,58,Москва,2,633,30000,53547,1,1,0,0,
122,Наталья,Морозова,F,53,Москва,1,779,89215,159453,2,1,0,0,
123,Павел,Воробьёв,M,28,Москва,4,720,55178,291982,1,1,1,0,
124,Сергей,Богданов,M,42,Москва,7,735,43025,261316,1,1,0,0,
125,Максим,Васильев,M,19,Москва,8,850,37824,317680,1,0,0,0,
126,Максим,Иванов,M,56,Москва,0,572,195400,75266,2,1,1,0,
127,Павел,Петров,M,41,Москва,5,664,58654,322102,1,1,0,0,
128,Иван,Лебедев,M,54,Регион,10,551,57189,0,1,1,0,1,2026-04-18
129,Михаил,Семёнов,M,37,Москва,9,640,101090,258192,2,0,0,0,
130,Мария,Морозова,F,18,Москва,10,722,36135,36990,1,1,1,0,
131,Кирилл,Васильев,M,70,Регион,10,763,118253,164777,1,1,0,1,2026-04-06
132,Елена,Виноградова,F,40,Москва,1,612,58604,0,1,1,1,0,
133,Ксения,Петрова,F,26,Санкт-Петербург,7,530,30000,229311,4,0,1,0,
134,Максим,Козлов,M,52,Регион,6,657,43552,0,2,1,0,1,2026-04-23
135,Ксения,Волкова,F,62,Санкт-Петербург,5,565,31036,233735,2,1,1,0,
136,Максим,Виноградов,M,36,Москва,8,592,62862,94052,2,1,1,0,
137,Мария,Зайцева,F,37,Регион,10,717,37192,329641,2,0,1,0,
138,Никита,Воробьёв,M,41,Регион,5,699,34814,104634,1,0,0,1,2026-01-18
139,Анна,Козлова,F,25,Москва,7,733,71348,0,3,1,1,0,
140,Кирилл,Лебедев,M,30,Москва,5,616,61473,196221,1,1,0,1,2026-03-25
141,Иван,Смирнов,M,59,Москва,6,751,123685,0,1,1,0,0,
142,Максим,Козлов,M,36,Регион,10,651,120440,62261,1,1,1,0,
143,Светлана,Лебедева,F,28,Москва,8,622,62120,0,1,0,1,0,
144,Юлия,Новикова,F,33,Москва,2,540,80805,0,2,0,0,1,2026-01-19
145,Александр,Зайцев,M,51,Санкт-Петербург,9,441,30000,0,1,1,0,0,
146,Андрей,Иванов,M,18,Регион,5,494,90910,0,2,0,0,1,2026-02-12
147,Дмитрий,Воробьёв,M,41,Москва,6,672,76605,0,2,0,0,0,
148,Светлана,Кузнецова,F,68,Москва,1,559,106133,0,3,0,1,0,
149,Дмитрий,Воробьёв,M,62,Санкт-Петербург,4,485,49825,43181,1,1,0,1,2026-03-09
150,Павел,Соколов,M,45,Регион,3,608,50086,0,1,0,0,0,
151,Ксения,Попова,F,54,Санкт-Петербург,0,678,50274,496786,2,1,0,1,2026-04-28
152,Анна,Павлова,F,54,Регион,9,692,141598,166139,1,0,0,0,
153,Павел,Попов,M,36,Москва,1,647,70952,103580,1,1,1,0,
154,Екатерина,Соловьёва,F,49,Москва,7,644,30000,139151,1,0,0,0,
155,Кирилл,Голубев,M,59,Москва,8,596,88135,0,1,1,1,0,
156,Юлия,Павлова,F,23,Москва,6,713,45343,0,1,1,1,0,
157,Александр,Виноградов,M,45,Санкт-Петербург,9,632,114777,0,2,1,1,0,
158,Мария,Соколова,F,42,Регион,1,642,82723,53570,1,1,0,0,
159,Анна,Васильева,F,39,Москва,0,754,126029,51382,2,1,0,0,
160,Мария,Новикова,F,38,Регион,9,729,111671,49860,1,0,0,0,
161,Никита,Козлов,M,41,Москва,2,632,105074,254647,1,1,0,1,2026-02-16
162,Юлия,Голубева,F,42,Санкт-Петербург,3,617,118265,759706,2,1,0,1,2026-04-08
163,Сергей,Новиков,M,51,Москва,7,617,97639,0,3,1,1,0,
164,Павел,Кузнецов,M,44,Санкт-Петербург,5,448,39486,33436,2,0,1,0,
165,Ольга,Воробьёва,F,36,Москва,2,760,30147,0,2,1,0,0,
166,Дмитрий,Козлов,M,28,Регион,2,582,36383,783650,1,0,0,0,
167,Ксения,Богданова,F,32,Регион,9,735,92820,314822,1,0,0,0,
168,Екатерина,Новикова,F,41,Регион,5,654,30000,43599,1,1,0,0,
169,Артём,Морозов,M,30,Регион,10,789,59323,116815,2,1,1,1,2026-04-05
170,Ольга,Виноградова,F,49,Москва,6,703,51046,531564,2,0,1,0,
171,Алексей,Голубев,M,43,Санкт-Петербург,7,741,124780,91452,2,0,0,0,
172,Татьяна,Кузнецова,F,52,Москва,3,591,55808,277941,3,0,0,0,
173,Артём,Лебедев,M,30,Регион,0,521,47997,81851,1,0,1,0,
174,Светлана,Новикова,F,28,Москва,5,665,131875,69249,2,1,1,0,
175,Максим,Зайцев,M,52,Москва,8,458,56662,4111,1,1,1,0,
176,Кирилл,Соловьёв,M,40,Регион,4,603,51428,0,1,0,1,0,
177,Сергей,Соловьёв,M,36,Москва,9,531,44644,51878,1,1,0,0,
178,Елена,Зайцева,F,46,Регион,7,566,71067,0,2,1,1,1,2026-04-15
179,Екатерина,Смирнова,F,46,Москва,5,710,49075,133211,3,1,1,0,
180,Дарья,Васильева,F,23,Регион,5,703,49182,0,2,1,0,1,2026-04-19
181,Ирина,Новикова,F,55,Регион,2,634,142934,309594,2,1,0,0,
182,Юлия,Воробьёва,F,33,Регион,9,682,61657,5973,3,0,1,0,
183,Елена,Зайцева,F,58,Москва,0,596,45756,0,2,1,1,0,
184,Кирилл,Соколов,M,22,Москва,0,850,32956,24252,1,1,1,0,
185,Анна,Воробьёва,F,42,Москва,8,680,67448,21985,2,1,1,0,
186,Елена,Петрова,F,36,Москва,0,591,42794,0,1,1,1,0,
187,Артём,Соловьёв,M,18,Санкт-Петербург,5,738,48002,101313,1,1,1,0,
188,Алексей,Павлов,M,46,Москва,2,774,35921,180380,3,1,1,0,
189,Светлана,Васильева,F,18,Москва,7,573,67382,0,1,0,0,0,
190,Сергей,Виноградов,M,34,Москва,1,508,30000,36615,2,1,0,0,
191,Мария,Козлова,F,51,Регион,2,528,76640,77930,2,1,0,0,
192,Иван,Голубев,M,32,Москва,5,583,43136,553756,2,0,0,0,
193,Сергей,Козлов,M,27,Москва,4,645,92040,684669,2,0,0,0,
194,Елена,Семёнова,F,48,Санкт-Петербург,2,487,80110,68304,2,0,1,0,
195,Артём,Волков,M,35,Москва,0,608,63730,0,3,1,0,0,
196,Павел,Иванов,M,33,Регион,0,629,99477,33673,2,1,0,0,
197,Наталья,Васильева,F,53,Москва,2,682,152386,0,1,1,1,0,
198,Елена,Соловьёва,F,24,Регион,3,711,128168,1589961,3,1,0,0,
199,Кирилл,Соколов,M,32,Регион,1,690,30000,51938,1,1,0,1,2026-01-03
200,Алексей,Зайцев,M,48,Регион,5,829,41638,404928,1,1,0,1,2026-04-26
201,Татьяна,Павлова,F,23,Регион,9,759,44812,0,3,0,1,1,2026-03-12
202,Юлия,Кузнецова,F,59,Регион,7,672,87831,80712,1,1,0,0,
203,Екатерина,Павлова,F,35,Санкт-Петербург,3,553,43768,42817,1,0,1,0,
204,Михаил,Виноградов,M,48,Санкт-Петербург,4,582,42749,0,2,1,0,0,
205,Алексей,Виноградов,M,48,Регион,8,507,38542,247552,4,1,0,0,
206,Сергей,Петров,M,36,Санкт-Петербург,10,665,71635,0,2,0,1,0,
207,Максим,Воробьёв,M,32,Санкт-Петербург,6,683,87624,0,1,1,0,0,
208,Ирина,Соколова,F,37,Москва,2,739,30000,0,2,1,0,0,
209,Артём,Павлов,M,47,Москва,9,677,43978,22922,1,1,1,0,
210,Мария,Новикова,F,26,Москва,5,755,30000,245992,2,0,0,0,
211,Мария,Виноградова,F,24,Москва,0,757,30000,62979,1,1,1,0,
212,Ирина,Лебедева,F,56,Санкт-Петербург,2,547,80081,28801,1,0,1,0,
213,Михаил,Богданов,M,29,Москва,5,598,72349,35386,4,1,0,0,
214,Анна,Волкова,F,42,Санкт-Петербург,8,649,66399,1781080,1,0,1,0,
215,Светлана,Волкова,F,36,Регион,9,579,155156,69080,2,1,1,0,
216,Анна,Соловьёва,F,36,Санкт-Петербург,2,626,30000,153560,1,1,1,0,
217,Андрей,Лебедев,M,55,Регион,7,680,30000,23530,1,0,1,0,
218,Иван,Виноградов,M,37,Москва,10,638,30516,0,2,0,0,0,
219,Дарья,Кузнецова,F,34,Москва,8,650,30000,19061,1,1,0,0,
220,Артём,Соловьёв,M,35,Регион,7,556,41439,154231,1,1,0,1,2026-03-30
221,Александр,Волков,M,32,Регион,8,701,84941,33103,1,1,0,0,
222,Никита,Морозов,M,30,Регион,6,693,71535,257241,1,0,0,0,
223,Анна,Соловьёва,F,32,Регион,6,574,110914,11526,3,0,1,1,2026-04-02
224,Ирина,Козлова,F,58,Регион,5,521,74792,46236,1,0,1,0,
225,Дмитрий,Новиков,M,47,Регион,10,773,46985,405177,2,0,0,1,2026-03-18
226,Ксения,Виноградова,F,34,Регион,3,825,43670,621380,1,1,0,0,
227,Андрей,Васильев,M,50,Регион,8,673,77845,99427,2,1,1,0,
228,Екатерина,Павлова,F,19,Москва,0,614,30000,61945,2,0,1,0,
229,Татьяна,Лебедева,F,55,Москва,4,755,30000,113526,1,1,1,0,
230,Иван,Семёнов,M,54,Москва,10,697,75670,1158221,1,0,1,0,
231,Иван,Богданов,M,65,Санкт-Петербург,2,629,68911,71530,1,1,1,0,
232,Андрей,Попов,M,50,Регион,8,747,153519,0,3,1,0,1,2026-03-26
233,Ксения,Кузнецова,F,43,Москва,5,569,90931,27904,2,1,1,0,
234,Наталья,Кузнецова,F,53,Москва,1,581,72078,43774,1,1,1,0,
235,Ольга,Соловьёва,F,30,Регион,1,686,49648,0,2,1,1,0,
236,Анна,Попова,F,33,Москва,1,661,36803,288293,2,0,0,0,
237,Дмитрий,Козлов,M,37,Регион,5,714,50607,0,1,1,1,1,2026-02-09
238,Анна,Виноградова,F,54,Москва,3,769,106200,267484,1,1,0,0,
239,Дмитрий,Смирнов,M,28,Москва,9,495,79079,0,1,1,1,0,
240,Андрей,Лебедев,M,26,Санкт-Петербург,8,654,104876,26383,1,1,1,1,2026-01-12
241,Ольга,Павлова,F,41,Москва,1,840,63833,256092,3,1,1,0,
242,Ольга,Смирнова,F,47,Москва,5,590,34901,55749,2,1,1,0,
243,Дмитрий,Иванов,M,30,Москва,8,579,120132,24115,3,1,0,0,
244,Ксения,Соловьёва,F,46,Москва,7,426,113783,125920,2,1,1,0,
245,Юлия,Соколова,F,54,Москва,0,660,66924,109428,2,1,1,0,
246,Татьяна,Соколова,F,52,Регион,0,708,83582,78604,1,0,1,1,2026-04-25
247,Татьяна,Павлова,F,42,Москва,6,708,80868,0,1,1,1,0,
248,Иван,Семёнов,M,37,Москва,10,546,45205,936204,1,0,1,0,
249,Никита,Богданов,M,59,Москва,0,649,51223,312306,1,1,0,0,
250,Андрей,Лебедев,M,38,Регион,1,672,34690,165280,1,0,1,0,
251,Анна,Иванова,F,49,Регион,2,655,51109,0,2,1,0,1,2026-04-17
252,Ирина,Кузнецова,F,61,Регион,3,541,111135,119294,1,1,0,0,
253,Алексей,Морозов,M,48,Регион,9,658,99174,0,1,1,1,0,
254,Александр,Попов,M,26,Москва,10,569,83707,0,1,1,1,0,
255,Дмитрий,Соловьёв,M,23,Регион,3,463,106458,38612,2,1,1,0,
256,Ирина,Павлова,F,34,Москва,8,718,48089,0,1,0,1,0,
257,Елена,Воробьёва,F,47,Регион,0,664,30000,16281,1,1,1,0,
258,Алексей,Волков,M,43,Санкт-Петербург,5,709,54496,48381,2,1,0,0,
259,Павел,Новиков,M,64,Москва,6,597,57147,64573,1,1,1,0,
260,Ирина,Смирнова,F,43,Регион,9,713,89809,18236,1,1,1,0,
261,Дмитрий,Виноградов,M,34,Регион,9,752,81379,61717,1,0,1,0,
262,Ксения,Кузнецова,F,24,Регион,0,825,109793,110470,3,1,1,0,
263,Алексей,Иванов,M,52,Москва,4,731,30000,338649,1,1,1,0,
264,Сергей,Попов,M,38,Москва,0,688,37093,53786,2,1,1,0,
265,Ирина,Семёнова,F,20,Москва,0,512,56680,111394,1,1,1,1,2026-02-19
266,Никита,Павлов,M,38,Санкт-Петербург,1,639,79827,16431,2,1,0,0,
267,Сергей,Петров,M,26,Санкт-Петербург,10,508,210372,0,2,0,1,0,
268,Михаил,Петров,M,33,Москва,2,568,33310,10053,4,1,1,1,2026-03-19
269,Дмитрий,Голубев,M,38,Регион,8,846,39109,0,3,0,1,0,
270,Никита,Павлов,M,27,Москва,7,548,46444,66607,3,1,0,1,2026-03-07
271,Дмитрий,Волков,M,32,Регион,9,416,38279,0,1,1,0,0,
272,Михаил,Лебедев,M,29,Регион,5,731,35139,185016,2,1,1,1,2026-04-20
273,Кирилл,Попов,M,29,Регион,10,583,61547,0,2,1,0,0,
274,Дарья,Иванова,F,26,Москва,4,727,108032,0,1,1,0,0,
275,Елена,Виноградова,F,32,Москва,8,533,64319,0,1,1,0,1,2026-04-15
276,Артём,Павлов,M,27,Москва,8,607,35745,42031,1,1,1,1,2026-03-15
277,Сергей,Смирнов,M,45,Регион,5,770,53224,0,2,0,1,0,
278,Наталья,Васильева,F,40,Санкт-Петербург,3,518,32108,1681967,2,1,0,0,
279,Дарья,Смирнова,F,52,Москва,1,633,107992,0,2,1,1,0,
280,Дарья,Попова,F,61,Регион,0,679,144740,0,1,1,0,0,
281,Андрей,Богданов,M,46,Регион,5,578,30000,4601,2,1,0,1,2026-01-18
282,Алексей,Павлов,M,43,Регион,4,674,68694,8262,1,1,0,1,2026-02-12
283,Павел,Попов,M,47,Санкт-Петербург,2,652,37537,542126,3,0,1,0,
284,Кирилл,Козлов,M,44,Регион,8,703,62176,80159,1,0,0,0,
285,Наталья,Голубева,F,39,Москва,1,834,56878,25202,2,1,1,0,
286,Алексей,Волков,M,38,Москва,5,850,30000,99077,4,0,0,0,
287,Кирилл,Смирнов,M,26,Регион,4,696,123660,0,1,1,1,0,
288,Дмитрий,Козлов,M,48,Регион,10,639,54665,0,1,1,0,1,2026-04-11
289,Ольга,Богданова,F,38,Санкт-Петербург,1,694,45161,982284,1,1,1,0,
290,Александр,Попов,M,55,Москва,9,627,64202,32070,1,1,0,0,
291,Мария,Новикова,F,49,Москва,7,491,35513,569408,2,1,1,0,
292,Александр,Соколов,M,30,Регион,8,645,53627,50348,4,0,1,0,
293,Ольга,Голубева,F,53,Регион,8,758,30000,39201,3,1,1,0,
294,Никита,Семёнов,M,18,Москва,8,504,30000,31969,3,1,0,1,2026-04-01
295,Светлана,Волкова,F,61,Москва,4,552,33455,0,1,1,1,0,
296,Татьяна,Иванова,F,22,Регион,6,592,43502,0,1,0,1,0,
297,Ирина,Зайцева,F,44,Регион,4,687,30000,55379,1,0,1,0,
298,Наталья,Волкова,F,43,Санкт-Петербург,9,850,44423,356321,2,0,0,0,
299,Светлана,Волкова,F,51,Санкт-Петербург,2,569,43467,41738,2,1,1,0,
300,Юлия,Лебедева,F,34,Регион,6,659,57703,89458,2,1,0,0,
301,Светлана,Кузнецова,F,18,Москва,2,651,86551,52213,1,1,1,0,
302,Артём,Иванов,M,34,Санкт-Петербург,4,620,167252,868317,2,0,1,0,
303,Анна,Волкова,F,35,Регион,10,645,77416,183695,1,1,0,1,2026-03-04
304,Татьяна,Иванова,F,18,Санкт-Петербург,2,604,33174,138837,1,1,1,0,
305,Татьяна,Зайцева,F,39,Регион,9,850,89312,70640,2,0,1,1,2026-02-15
306,Михаил,Смирнов,M,25,Регион,8,725,138741,49047,3,1,0,0,
307,Максим,Виноградов,M,46,Санкт-Петербург,4,604,30572,0,2,1,1,0,
308,Светлана,Соколова,F,35,Москва,4,768,31610,0,1,0,1,0,
309,Максим,Петров,M,62,Регион,0,676,30000,14223,1,0,1,0,
310,Сергей,Васильев,M,35,Москва,8,656,42672,63909,3,0,1,0,
311,Михаил,Павлов,M,43,Москва,7,632,74902,284664,2,1,1,0,
312,Иван,Смирнов,M,35,Санкт-Петербург,10,625,145790,13221,2,1,0,0,
313,Алексей,Попов,M,19,Санкт-Петербург,3,528,102232,122263,1,0,1,0,
314,Иван,Соколов,M,36,Регион,4,483,75457,0,1,1,0,0,
315,Никита,Васильев,M,47,Регион,7,687,61541,101923,2,1,0,0,
316,Кирилл,Лебедев,M,45,Регион,3,631,75729,0,2,0,0,0,
317,Никита,Кузнецов,M,34,Москва,3,738,78454,0,3,1,0,1,2026-04-04
318,Татьяна,Воробьёва,F,21,Санкт-Петербург,1,561,130865,0,2,1,0,0,
319,Алексей,Лебедев,M,46,Регион,10,540,59129,0,3,1,0,0,
320,Анна,Иванова,F,43,Санкт-Петербург,5,728,70056,0,2,1,1,0,
321,Елена,Васильева,F,48,Регион,8,620,46859,104907,2,1,0,0,
322,Дмитрий,Соколов,M,35,Санкт-Петербург,7,736,64090,0,3,1,0,1,2026-01-31
323,Павел,Соколов,M,18,Москва,6,653,51340,168866,1,0,0,0,
324,Дарья,Волкова,F,44,Санкт-Петербург,3,838,30000,255005,1,1,0,1,2026-01-26
325,Екатерина,Петрова,F,38,Москва,3,726,101110,5109,1,1,0,0,
326,Анна,Новикова,F,55,Москва,5,691,146232,176191,2,0,0,0,
327,Татьяна,Павлова,F,38,Москва,1,730,58545,0,3,1,1,0,
328,Мария,Зайцева,F,37,Москва,5,623,73074,50814,1,0,1,0,
329,Анна,Голубева,F,43,Москва,0,486,100407,0,2,1,0,0,
330,Иван,Иванов,M,31,Регион,3,686,54940,297944,2,1,1,0,
331,Ксения,Морозова,F,30,Москва,6,844,67088,34480,2,1,1,0,
332,Андрей,Павлов,M,37,Регион,0,421,52565,0,1,1,1,0,
333,Ольга,Новикова,F,27,Санкт-Петербург,0,697,43058,390659,1,1,1,0,
334,Наталья,Попова,F,35,Москва,2,496,81875,0,1,0,0,0,
335,Алексей,Иванов,M,61,Москва,8,648,81431,22749,1,1,1,0,
336,Светлана,Иванова,F,51,Регион,8,658,104144,1310577,1,0,0,1,2026-03-05
